Nama Sekolah,NilaiAkreditasi,JumlahSiswa,Jenis Sekolah,Kab/Kota
MAS TRI BHAKTI,83,420,NEGERI,MADIUN
SMK PGRI 3 MADIUN,92,420,SWASTA,MADIUN
SMK MGR. SOEGIJAPRANATA.,84,424,SWASTA,PASURUAN
SMK DHARMA BHAKTI SURABAYA,83,425,SWASTA,SURABAYA
SMK Miftahul Ulum,82,426,SWASTA,BONDOWOSO
SMK Mambaul Ulum,83,426,SWASTA,BONDOWOSO
SMK AL-HIKAM ,81,431,SWASTA,PAMEKASAN
SMK Nurul Falah,81,433,SWASTA,BONDOWOSO
SMK DR. SOETOMO SURABAYA,89,433,SWASTA,SURABAYA
SMK PEMBANGUNAN 1,92,433,SWASTA,PONOROGO
SMK AL - IMAM,81,435,SWASTA,JEMBER
SMK AL IKHLASH,85,443,SWASTA,GRESIK
SMK ISLAM DONOMULYO,93,443,SWASTA,MALANG
MA SingoWalisongo,84,445,SWASTA,MAGETAN
SMK PGRI ROGOJAMPI,91,447,SWASTA,BANYUWANGI
SMKN WRINGIN,92,448,NEGERI,BONDOWOSO
SMK MERDEKA LAWANG,88,449,SWASTA,MALANG
"SMK ""KIMIA INDUSTRI"" FATHUL MUNA",82,451,SWASTA,PONOROGO
SMK MUHAMMADIYAH 6 DONOMULYO,91,453,SWASTA,MALANG
SMK KITA BAKTI,86,456,SWASTA,MOJOKERTO
SMK AL MUNAWWARIYAH,83,457,SWASTA,MALANG
SMA PEMBERDAYAAN BANGSA,81,460,SWASTA,PONOROGO
SMA Darul Ulum,84,461,SWASTA,MAGETAN
SMK PRADANA GIRI,82,463,SWASTA,BANYUWANGI
SMKN 1 SLAHUNG,93,463,NEGERI,PONOROGO
SMKN 1 PARON,91,471,NEGERI,NGAWI
SMK PGRI 9 NGAWI,82,473,SWASTA,NGAWI
SMK IKIP SURABAYA,84,474,SWASTA,SURABAYA
SMK PUTRA INDONESIA,92,474,SWASTA,MALANG
SMKN SUKOREJO,94,474,NEGERI,PASURUAN
SMKN 1 Poncol,92,482,NEGERI,MAGETAN
SMK RADEN RAHMAD,92,483,SWASTA,MOJOKERTO
SMKN 1 SITUBONDO,92,485,NEGERI,SITUBONDO
SMK PAWIYATAN SURABAYA,87,487,SWASTA,SURABAYA
SMAN 3 MAGETAN,92,488,NEGERI,MAGETAN
SMA KP PARON,82,492,SWASTA,NGAWI
SMK KARTIKA V-1 LAWANG,90,494,SWASTA,MALANG
SMA MUHAMMADIYAH 1,92,494,SWASTA,PONOROGO
SMK MA'ARIF PANDAAN,92,498,SWASTA,PASURUAN
SMK MUHAMMADIYAH 4 GLENMORE,91,499,SWASTA,BANYUWANGI
SMK (SMEA) N 1 SUBOH,91,499,NEGERI,SITUBONDO
SMKN PRIGEN,92,499,NEGERI,PASURUAN
SMK PGRI 2 PASURUAN,92,500,SWASTA,PASURUAN
SMAN 4 MADIUN,92,500,NEGERI,MADIUN
SMKN SEKAR,88,502,NEGERI,BOJONEGORO
SMK MA'ARIF NU,82,504,SWASTA,GRESIK
SMKN 1 KEPANJEN,92,505,NEGERI,MALANG
SMA PGRI 1 MAOSPATI,91,508,SWASTA,MAGETAN
SMAN 2 MAGETAN,91,513,NEGERI,MAGETAN
SMK PGRI 1 GIRI,92,514,SWASTA,BANYUWANGI
SMK CENDIKA BANGSA KEPANJEN,88,516,SWASTA,MALANG
SMK 17 AGUSTUS 1945 SURABAYA,93,518,SWASTA,SURABAYA
SMK (SMEA) 1 IBRAHIMY SUKOREJO,92,520,SWASTA,SITUBONDO
SMK KOSGORO 4 KARANGPLOSO,87,522,SWASTA,MALANG
SMK BHAKTI SAMUDERA,93,524,SWASTA,SURABAYA
SMK A YANI BANGIL,90,530,SWASTA,PASURUAN
SMKN 1 KASIMAN,93,532,NEGERI,BOJONEGORO
SMK Al Basthomi loceret,92,536,SWASTA,NGANJUK
SMKN Tambelangan,85,542,NEGERI,SAMPANG
SMK (STM) SUNAN AMPEL,87,548,SWASTA,GRESIK
SMK PGRI 3 BOJONEGORO,91,550,SWASTA,BOJONEGORO
SMK PROF. SURJONO,85,551,SWASTA,MALANG
SMK (SMEA) YPI DARUSSALAM 2 CERME,92,553,SWASTA,GRESIK
SMK ISLAM AN NUURU,85,554,SWASTA,MALANG
SMKN REMBANG,92,554,NEGERI,PASURUAN
SMK PGRI SINGOSARI,90,558,SWASTA,MALANG
SMK KOSGORO 2 NGANTANG,91,567,SWASTA,MALANG
SMK KHAIRUDIN GONDANGLEGI,84,573,SWASTA,MALANG
SMK PEMBANGUNAN KIKIL,89,574,SWASTA,PACITAN
SMK DARUL HIKMAH,86,583,SWASTA,JEMBER
SMK TAMANSISWA 2 MADIUN,87,584,SWASTA,MADIUN
SMK DARUL ISTIQOMAH,92,584,SWASTA,PONOROGO
SMK MAHARDIKA KARANGPLOSO,91,586,SWASTA,MALANG
SMK TELKOM SANDHY PUTRA,96,586,SWASTA,MALANG
SMK TEKSTIL PANDAAN,94,587,SWASTA,PASURUAN
SMK DHARMA WANITA,89,592,SWASTA,MALANG
SMK NASIONAL MOJOSARI,84,594,SWASTA,MOJOKERTO
SMA Ma'arif Ngawi,81,595,SWASTA,NGAWI
SMK (SMEA) N 1 PANJI,93,596,NEGERI,SITUBONDO
SMK 10 NOPEMBER BULULAWANG,83,597,SWASTA,MALANG
SMK SHALAHUDDIN,91,597,SWASTA,MALANG
SMK YASMU,93,597,SWASTA,GRESIK
SMK BUDI UTOMO KEPANJEN,92,600,SWASTA,MALANG
SMK PGRI 2 BOJONEGORO,93,601,SWASTA,BOJONEGORO
SMK N 1 PACITAN,91,606,NEGERI,PACITAN
SMK ST. BONAVENTURA 2 MADIUN,82,608,SWASTA,MADIUN
SMK Muhammadiyah 1 Ngawi,83,623,SWASTA,NGAWI
SMK PGRI TUREN,87,627,SWASTA,MALANG
MA AL KAROMAH,83,633,NEGERI,NGAWI
SMAN 2 NGAWI,92,633,NEGERI,NGAWI
SMK Nurul Huda ,91,637,SWASTA,SITUBONDO
SMK DR. Sutomo Nganjuk,82,640,SWASTA,NGANJUK
SMKN 1 SINGOSARI,92,641,NEGERI,MALANG
SMK BINA BANGSA DAMPIT,92,648,SWASTA,MALANG
SMKN 1 BENDO,92,650,NEGERI,MAGETAN
SMK N EGERI 1 SOOKO,92,661,NEGERI,MOJOKERTO 
SMK (STM) IBRAHIMY PANJI,85,663,SWASTA,SITUBONDO
SMK 2 MUHAMMADIYAH,82,665,SWASTA,PROBOLINGGO
SMAN 1 BABADAN,92,668,NEGERI,PONOROGO
SMKN 8 SURABAYA,92,671,NEGERI,SURABAYA
SMK PGRI II GRESIK,82,672,SWASTA,GRESIK
SMK WIDYA KARTIKA KARANGPLOSO,88,673,SWASTA,MALANG
SMK TRISAKTI BEJI,89,675,SWASTA,PASURUAN
SMK BRANTAS KARANGKATES,93,679,SWASTA,MALANG
SMK GAJAH MADA,90,684,SWASTA,MOJOKERTO 
SMKN 1 NGRAHO,90,687,NEGERI,BOJONEGORO
SMK PGRI PESANGGARAN,85,692,SWASTA,BANYUWANGI
SMK KAWUNG 1 SURABAYA,84,693,SWASTA,SURABAYA
SMK WIJAYA SURABAYA,83,694,SWASTA,SURABAYA
SMK PGRI 2 GIRI,87,698,SWASTA,BANYUWANGI
SMK KUSUMA BANGSA,82,706,SWASTA,MOJOKERTO
SMA KARYA PEMBANGUNAN NGAWI,81,714,SWASTA,NGAWI
SMAN 1 DAGANGAN,92,714,NEGERI,MADIUN
SMK Nazhatut Thullab,88,718,SWASTA,SAMPANG
SMKN 3 PAMEKASAN,93,718,NEGERI,AKU SAYANG KM
SMK DARUSSALAM BLOKAGUNG,93,719,SWASTA,BANYUWANGI
SMK PGRI KASEMBON,86,720,SWASTA,MALANG
SMK Dharma Siswa Kraksaan,81,723,SWASTA,PROBOLINGGO
SMK ANTARTIKA SURABAYA,90,726,SWASTA,SURABAYA
SMK KOSGORO 1 LAWANG,92,727,SWASTA,MALANG
SMK SRIWEDARI,82,733,SWASTA,MALANG
SMK N 1 TROWULAN,92,735,NEGERI,MOJOKERTO 
SMK (STM) KARYA BHAKTI KEBOMAS,82,737,SWASTA,GRESIK
SMK ABI SURABAYA,82,738,SWASTA,SURABAYA
SMKN 3 BOJONEGORO,91,738,NEGERI,BOJONEGORO
MA AL HIDAYAH,90,739,SWASTA,NGAWI
SMK PGRI DAMPIT,90,741,SWASTA,MALANG
SMK PGRI 1 BOJONEGORO,87,742,SWASTA,BOJONEGORO
SMKN 1 BOJONEGORO,93,743,NEGERI,BOJONEGORO
SMK ANGKASA MOJOSARI,85,744,SWASTA,MOJOKERTO
SMK NASIONAL TEMAYANG,88,747,SWASTA,BOJONEGORO
SMKN 1 PURWOSARI,94,756,NEGERI,PASURUAN
SMK KAWUNG 2 SURABAYA,89,760,SWASTA,SURABAYA
SMK MA`ARIF NU BENJENG,91,761,SWASTA,GRESIK
SMKN 1 DANDER,92,765,NEGERI,BOJONEGORO
SMK MUHAMMADYAH 2 NGAWI,90,767,SWASTA,NGAWI
SMK PURUHITA,85,770,SWASTA,SURABAYA
SMK (STM) YOSONEGORO,92,776,SWASTA,MAGETAN
SMK FAVORIT,87,778,SWASTA,MOJOKERTO 
SMK MUHAMMADIYAH 1,91,794,SWASTA,PONOROGO
SMK HIDAYATUL UMMAH BALONGPANGGANG,84,795,SWASTA,GRESIK
MA Muhammadiyah Tempurrejo,82,801,SWASTA,NGAWI
MA NURUL AZHAR,82,805,NEGERI,NGAWI
MAS AL ISLAMIYAH,92,805,NEGERI,MADIUN
SMK Raudlatul Islam Seneng Krucil,82,807,SWASTA,PROBOLINGGO
SMKN 1 Wonomerto,81,818,NEGERI,PROBOLINGGO
SMK AL ISLAH,92,819,SWASTA,SURABAYA
SMK PUSPA BANGSA CLURING,90,820,SWASTA,BANYUWANGI
SMK (SMEA) KORPRI UTERAN,82,827,SWASTA,MADIUN
SMK N TERPADU NGADIROJO,92,835,NEGERI,PACITAN
SMK Nurul Jadid Paiton,90,841,SWASTA,PROBOLINGGO
SMKN 5 SURABAYA,93,846,NEGERI,SURABAYA
SMK TUNAS BANGSA,84,849,SWASTA,MALANG
SMK FARMASI SEKESAL,93,856,SWASTA,SURABAYA
SMALB PANCA BHAKTI,84,859,SWASTA,MADIUN
SMK PANTI PARMADI SISWI 1 NGRAMBE,89,860,SWASTA,NGAWI
SMK MA'ARIF NU DRIYOREJO,89,861,SWASTA,GRESIK
SMAN 1 SINE,91,882,NEGERI,NGAWI
SMK NU BAHRUL ULUM,89,885,SWASTA,GRESIK
SMK WISNUWARDHANA,83,887,SWASTA,MALANG
SMK Sumber Bunga,83,895,SWASTA,SITUBONDO
SMKN 1 PITU,91,900,NEGERI,NGAWI
SMK 01 DIPONEGORO,93,900,SWASTA,JEMBER
SMK BUSTANUL ULUM,90,901,SWASTA,PAMEKASAN
SMK MUHAMMADIYAH 2 PAGAK,92,901,SWASTA,MALANG
SMK YPM 6 BOJONEGORO,86,905,SWASTA,BOJONEGORO
SMK NEGERI 1 KANOR,92,910,NEGERI,BOJONEGORO
SMK Kecil Nurur Rahma Leces,85,918,SWASTA,PROBOLINGGO
SMK SUNAN AMPEL,85,919,SWASTA,MALANG
SMA MUHAMMADIYAH 1 MADIUN,82,920,SWASTA,MADIUN
SMK (STM) SULTAN AGUNG,85,921,SWASTA,MOJOKERTO
SMK N 3 PACITAN,92,921,NEGERI,PACITAN
SMAN 1 WUNGU,91,929,NEGERI,MADIUN
SMK BUDI UTOMO,82,938,SWASTA,MOJOKERTO 
SMK SENTOSA DHARMA,89,939,SWASTA,BOJONEGORO
SMK N BANDAR,90,939,NEGERI,PACITAN
SMK YAPENAS GEMPOL,90,940,SWASTA,PASURUAN
SMK PLUS AL MAARIF,90,940,SWASTA,MALANG
SMK PETRA YPK JATIM,82,948,SWASTA,MALANG
SMK AL MUNAWAROH,88,949,SWASTA,JEMBER
SMK Terpadu Al-Ishlahiyah,90,952,SWASTA,MALANG
SMK WAHID HASYIM,90,952,SWASTA,BOJONEGORO
SMKN PUSPO,91,959,NEGERI,PASURUAN
SMK (STM) BHAKTI KITA DRIYOREJO,83,968,SWASTA,GRESIK
SMK 2 AHMAD YANI,92,973,SWASTA,PROBOLINGGO
SMK YP 17-2 MADIUN,82,978,SWASTA,MADIUN
SMAN 1 BARAT,91,979,NEGERI,MAGETAN
SMK ROUDLOTUL HIKMAH,87,981,SWASTA,GRESIK
SMK (SMEA) BHAKTI CARUBAN,87,983,SWASTA,MADIUN
SMK Negeri Grujugan,88,985,NEGERI,BONDOWOSO
SMAN 1 KAUMAN,92,987,NEGERI,PONOROGO
SMK SUNAN DRAJAT,83,997,SWASTA,GRESIK
SMK Panti Pamardi Siwi 2 Ngrambe,91,1000,SWASTA,NGAWI
SMK PRAJNAPARAMITA,90,1007,SWASTA,MALANG
SMK BERDIKARI - 2 SURABAYA,82,1017,SWASTA,SURABAYA
SMK Negeri 1 Banyuputih,86,1018,NEGERI,SITUBONDO
SMKN 2 Ngawi,92,1021,NEGERI,NGAWI
SMKN 3 BONDOWOSO,93,1021,NEGERI,BONDOWOSO
SMK WIDYAGAMA,85,1025,SWASTA,MALANG
SMK AL MAJIDI,81,1026,SWASTA,JEMBER
SMKN 5 MALANG,92,1034,NEGERI,MALANG
SMK TAMAN SISWA,91,1047,SWASTA,MOJOKERTO
SMK MAMBA'UL IHSAN,88,1055,SWASTA,GRESIK
SMK WALISONGO 1 GEMPOL,92,1055,SWASTA,PASURUAN
SMK DHARMA WANITA KABUPATEN GRESIK,90,1058,SWASTA,GRESIK
SMA PSM MADIUN,85,1059,SWASTA,MADIUN
SMK TARUNA JAYA GRESIK,91,1060,SWASTA,GRESIK
SMK PGRI 02 GENENG,92,1067,SWASTA,NGAWI
SMK MUHAMMADIYAH 5 KEPANJEN,83,1081,SWASTA,MALANG
SMK MUHAMMADIYAH 1,92,1093,SWASTA,PASURUAN
SMK (SMEA) PANCA BHAKTI MAGETAN,86,1101,SWASTA,MAGETAN
SMK AHMAD YANI JABUNG,89,1108,SWASTA,MALANG
UPT SMAN 4 PASURUAN,92,1116,NEGERI,PASURUAN
SMAN 2 MEJAYAN,92,1128,NEGERI,MADIUN
SMK 1 PANCASILA AMBULU,93,1135,SWASTA,JEMBER
SMK PGRI GRESIK,92,1138,SWASTA,GRESIK
SMK ISLAM KALIPARE,91,1147,SWASTA,MALANG
SMKN 1 BANGIL,93,1176,NEGERI,PASURUAN
SMK NEGERI 1 GENENG,93,1191,NEGERI,NGAWI
SMK MUHAMMADIYAH 6 ROGOJAMPI,92,1196,SWASTA,BANYUWANGI
SMKN 1 SIDAYU,93,1200,NEGERI,GRESIK
MAN PARON,91,1224,NEGERI,NGAWI
SMA KARYA PEMBANGUNAN KWADUNGAN,82,1226,SWASTA,NGAWI
SMKN 1 Sumberasih,92,1230,NEGERI,PROBOLINGGO
SMKN 6 SURABAYA,94,1234,NEGERI,SURABAYA
SMALB PANCARAN KASIH,83,1236,SWASTA,MADIUN
SMK 02 ISLAM 45 AMBULU,93,1236,SWASTA,JEMBER
MAS SABILITH THOHIRIN,83,1244,NEGERI,MADIUN
SMK (STM) N 1 JIWAN,84,1245,SWASTA,MADIUN
SMK ISLAM WALISONGO,86,1257,SWASTA,MOJOKERTO 
SMK MUH. TINATAR,83,1268,SWASTA,PACITAN
SMK MA`ARIF SUDIMORO,83,1270,SWASTA,PACITAN
SMKN TUTUR,93,1270,NEGERI,PASURUAN
SMK ISLAM PENANGGUNGAN,89,1276,SWASTA,MOJOKERTO 
SMK AL ISLAM MOJOSARI,81,1283,SWASTA,MOJOKERTO 
SMK 17 AGUSTUS 1945 TEGALDLIMO,92,1283,SWASTA,BANYUWANGI
SMK PEMUDA,81,1297,SWASTA,MOJOKERTO
SMAN 1 NGAWI,91,1329,NEGERI,NGAWI
SMK (SMEA) SUNAN GIRI,92,1329,SWASTA,GRESIK
SMK WACHID HASYIM,88,1355,SWASTA,PAMEKASAN
MAS WALI SONGO,91,1358,NEGERI,MADIUN
SMK Kecil Al Iman,91,1361,SWASTA,PONOROGO
SMK NUSANTARA BANGOREJO,81,1362,SWASTA,BANYUWANGI
SMK WIYATA DHARMA WALIKUKUN,91,1363,SWASTA,NGAWI
SMK NU GRESIK,92,1364,SWASTA,GRESIK
SMKN 7 SURABAYA,92,1365,NEGERI,SURABAYA
SMK GAJAH MADA BANYUWANGI,92,1375,SWASTA,BANYUWANGI
SMK Negeri 1 Gerih,93,1379,NEGERI,NGAWI
MAN NGAWI,91,1395,NEGERI,NGAWI
MAN NGRAMBE,93,1398,NEGERI,NGAWI
SMK ST. LOUIS SURABAYA,94,1410,SWASTA,SURABAYA
SMK BUBUTAN SURABAYA,86,1411,SWASTA,SURABAYA
MAN PANEKAN,91,1430,NEGERI,MAGETAN
SMK PGRI 7 SURABAYA,83,1452,SWASTA,SURABAYA
SMAN 1 NGRAMBE,92,1453,NEGERI,NGAWI
SMK FARMASI SURABAYA,92,1454,SWASTA,SURABAYA
SMK (STM) PGRI 2 MEJAYAN,88,1456,SWASTA,MADIUN
SMK PGRI 3 Nganjuk,91,1458,SWASTA,NGANJUK
SMK Sunan Bonang Brani Maron,84,1471,SWASTA,PROBOLINGGO
SMK Taruna Bhakti Kertosono,89,1476,SWASTA,NGANJUK
SMK TEKNIK PAL SURABAYA,93,1485,SWASTA,SURABAYA
SMK MUHAMMADIYAH 8 SILIRAGUNG,92,1486,SWASTA,BANYUWANGI
SMK NEGERI 1,91,1488,NEGERI,MOJOKERTO
SMKN 1 NGULING,92,1495,NEGERI,PASURUAN
SMKN 1 KRAKSAAN,84,1502,NEGERI,PROBOLINGGO
SMK (SMEA) KRESTEN PANCASILA 1 KAWEDANAN,83,1505,SWASTA,MAGETAN
SMK (STM) KATOLIK SANTO YUSUF,85,1531,SWASTA,MADIUN
SMKN 1 GEMPOL,92,1542,NEGERI,PASURUAN
SMKN 4 SURABAYA,92,1554,NEGERI,SURABAYA
SMA Muhammadiyah 1 Ngawi,85,1564,SWASTA,NGAWI
SMK (STM) MUHAMMADIYAH 3,90,1577,SWASTA,MADIUN
SMK Ibrahimy 2 Sukorejo,83,1583,SWASTA,SITUBONDO
SMK MIFTAHUL ULUM KEBUN BARU,87,1588,SWASTA,PAMEKASAN
SMK 17 AGUSTUS 1945 GENTENG,93,1602,SWASTA,BANYUWANGI
MAN Tempursari,93,1605,NEGERI,NGAWI
SMK BARUNAWATI SURABAYA,92,1610,SWASTA,SURABAYA
SMK MUHAMMADIYAH 2 GENTENG,93,1618,SWASTA,BANYUWANGI
SMKN 1 KERTOSONO,88,1640,NEGERI,NGANJUK
SMKN 2 SURABAYA,92,1685,NEGERI,SURABAYA
SMK ASSA'ADAH BUNGAH,92,1696,SWASTA,GRESIK
SMK BINA KARYA PACITAN,88,1712,SWASTA,PACITAN
SMK PGRI KROMENGAN,83,1742,SWASTA,MALANG
UPT SMAN 3 PASURUAN,92,1745,NEGERI,PASURUAN
SMK TUREN,93,1749,SWASTA,MALANG
SMK TRI TUNGGAL SURABAYA,81,1759,SWASTA,SURABAYA
SMKN 1 GRATI,93,1778,NEGERI,PASURUAN
SMK ASSALAM BANTUR,92,1796,SWASTA,MALANG
SMKN 1 NGAMBON,93,1818,NEGERI,BOJONEGORO
SMK SRI TANJUNG BANYUWANGI,92,1848,SWASTA,BANYUWANGI
SMK ANWARUL MALIKI SUKOREJO,87,1853,SWASTA,PASURUAN
SMK SEJAHTERA SURABAYA,86,1855,SWASTA,SURABAYA
SMK NEGERI 1 CERME,92,1866,NEGERI,GRESIK
SMKN 2 MADIUN,91,1875,NEGERI,MADIUN
SMKN 1 Kartoharjo,92,1915,NEGERI,MAGETAN
SMK Islam As Siddiqi,87,1919,SWASTA,SITUBONDO
SMK PGRI 3 WALIKUKUN NGAWI,88,1928,SWASTA,NGAWI
SMK PGRI 02 TUREN,82,1933,SWASTA,MALANG
SMK NURUL ISLAM,84,1941,SWASTA,PAMEKASAN
SMK INDUSTRI NGORO,81,1942,SWASTA,MOJOKERTO
SMAN 1 SLAHUNG,91,1964,NEGERI,PONOROGO
SMK (STM) YPI DARUSSALAM 1 CERME,92,1974,SWASTA,GRESIK
SMK TRI GUNA BHAKTI SURABAYA,85,1989,SWASTA,SURABAYA
SMKN 1 MAGETAN,94,1995,NEGERI,MAGETAN
SMK DARUTTAQWA,91,2004,SWASTA,GRESIK
SMK (SMEA) MAGETAN 1,89,2028,SWASTA,MAGETAN
SMK WALISONGO 2 GEMPOL ,92,2061,SWASTA,PASURUAN
SMK AL IRSYAD,92,2082,SWASTA,SURABAYA
SMK PGRI 1,92,2104,SWASTA,PONOROGO
SMK BRAWIJAYA,91,2139,SWASTA,MOJOKERTO
SMK Zaha Genggong Pajarakan,89,2158,SWASTA,PROBOLINGGO
SMK Muhammadiyah 3 Nganjuk,91,2194,SWASTA,NGANJUK
SMK RADEN PATAH,92,2243,SWASTA,MOJOKERTO
SMK Negeri 1 Kasreman,90,2272,NEGERI,NGAWI
SMK TARUNA MANDIRI SRONO,82,2281,SWASTA,BANYUWANGI
SMK YADIKA BANGIL,92,2293,SWASTA,PASURUAN
SMKN 3 SURABAYA,93,2314,NEGERI,SURABAYA
SMK AL-ANWAR,85,2315,SWASTA,PAMEKASAN
SMK TANWIR,88,2408,SWASTA,SURABAYA
UPT SMKN 1 PASURUAN,93,2410,NEGERI,PASURUAN
SMK PGRI,92,2459,SWASTA,MOJOKERTO
SMK UNTUNG SURAPATI,92,2476,SWASTA,PASURUAN
SMK WIJAYA PUTRA 1 SURABAYA,92,2483,SWASTA,SURABAYA
SMK DIPONEGORO,83,2485,SWASTA,PACITAN
UPT SMAN 1 PASURUAN,92,2514,NEGERI,PASURUAN
SMKN PAKONG,87,2629,NEGERI,PAMEKASAN
UPT SMK NEGERI 2,93,2659,NEGERI,PASURUAN
UPT SMAN 2 PASURUAN,93,2772,NEGERI,PASURUAN
